Customer_ID,Join_Date,Industry,Total_Users,Monthly_Revenue,Contract_Type,Support_Tickets,Last_Login_Days_Ago,Churn_Label,Churn_Label_Flag,Total_Users_Flag,Monthly_Revenue_Flag,Last_Login_Days_Ago_Flag,Support_Tickets_Missing,Contract_Type_Unknown
1001,2020-08-16,Tech,23.0,1133.0,2 Year,1.0,8.0,No,,,,,0,0
1002,2020-06-27,Manufacturing,14.0,734.0,Month-to-Month,0.0,0.0,No,recoded_from_1,,,,0,0
1003,2020-02-24,Retail,20.0,1005.0,2 Year,0.0,20.0,No,,,,,0,0
1004,2021-07-23,Healthcare,33.0,1630.0,Month-to-Month,2.0,22.0,Yes,,,,,0,0
1005,2020-07-28,Healthcare,10.0,491.0,1 Year,1.0,3.0,No,,,,,0,0
1006,2020-03-29,Manufacturing,7.0,388.0,2 Year,1.0,3.0,No,,,,,0,0
1007,2021-08-23,Finance,9.0,476.0,2 Year,1.0,6.0,No,,,,,0,0
1008,2021-08-15,Healthcare,1.0,40.0,Month-to-Month,0.0,27.0,Yes,,,,,0,0
1009,2020-11-29,Education,5.0,277.0,1 Year,4.0,6.0,No,,,,,0,0
1010,2020-05-26,Healthcare,22.0,1101.0,2 Year,1.0,23.0,No,,,,,0,0
1011,2021-03-25,Retail,10.0,521.0,Month-to-Month,2.0,7.0,No,,,,,0,0
1012,2021-07-02,Healthcare,16.0,788.0,Month-to-Month,1.0,29.0,No,,,,,0,0
1013,2021-03-11,Healthcare,28.0,1443.0,1 Year,1.0,28.0,No,,,,,0,0
1014,2020-10-12,Retail,18.0,911.0,2 Year,0.0,17.0,No,,,,,1,0
1015,2022-03-28,Tech,11.0,576.0,Month-to-Month,1.0,4.0,Yes,,,,,0,0
1016,2020-11-09,Manufacturing,34.0,1700.0,2 Year,0.0,13.0,No,,,,,0,0
1017,2022-08-16,Education,25.0,1297.0,1 Year,1.0,17.0,Yes,,,,,0,0
1018,2021-06-30,Education,30.0,1523.0,Month-to-Month,0.0,9.0,No,,,,,0,0
1019,2021-06-23,Healthcare,21.0,1094.0,Month-to-Month,0.0,16.0,No,,,,,0,0
1020,2022-11-05,Manufacturing,32.0,1605.0,Month-to-Month,3.0,11.0,No,,,,,0,0
1021,2020-01-02,Healthcare,6.0,321.0,1 Year,4.0,0.0,No,,,,,0,0
1022,2021-05-05,Tech,15.0,737.0,Month-to-Month,0.0,28.0,Yes,,,,,0,0
1023,2022-12-26,Healthcare,4.0,196.0,Month-to-Month,2.0,,No,,,,negative_set_to_missing,0,0
1024,2022-12-16,Finance,34.0,1734.0,Month-to-Month,1.0,29.0,No,,,,,0,0
1025,2021-09-30,Retail,8.0,431.0,2 Year,4.0,20.0,No,,,,,0,0
1026,2020-09-04,Finance,10.0,511.0,Month-to-Month,3.0,2.0,No,,,,,0,0
1027,2021-03-27,Healthcare,13.0,630.0,Month-to-Month,0.0,22.0,Yes,,,,,1,0
1028,2020-05-25,Education,12.0,645.0,Month-to-Month,1.0,8.0,Yes,,,,,0,0
1029,2022-08-26,Retail,12.0,611.0,1 Year,2.0,25.0,Yes,,,,,0,0
1030,2021-12-26,Education,8.0,434.0,1 Year,3.0,14.0,No,,,,,0,0
1031,2020-07-20,Finance,6.0,287.0,1 Year,2.0,23.0,No,,,,,0,0
1032,2021-01-27,Retail,6.0,304.0,2 Year,2.0,14.0,No,,,,,0,0
1033,2021-05-26,Tech,21.0,1039.0,1 Year,2.0,25.0,No,,,,,0,0
1034,2020-01-31,Retail,16.0,791.0,Month-to-Month,3.0,5.0,No,,,,,0,0
1035,2020-04-30,Retail,6.0,301.0,1 Year,2.0,0.0,No,,,,,0,0
1036,2021-08-07,Education,10.0,534.0,2 Year,2.0,30.0,No,,,,,0,0
1037,2022-09-23,Tech,7.0,349.0,Month-to-Month,1.0,9.0,Yes,,,,,0,0
1038,2021-10-04,Manufacturing,45.0,2237.0,Month-to-Month,4.0,18.0,No,,,,,0,0
1039,2020-11-18,Tech,41.0,2037.0,2 Year,0.0,2.0,No,,,,,0,0
1040,2021-04-26,Tech,20.0,1031.0,Month-to-Month,5.0,30.0,Yes,,,,,0,0
1041,2020-06-16,Healthcare,28.0,1433.0,2 Year,2.0,18.0,No,,,,,0,0
1042,2021-02-22,Healthcare,19.0,970.0,Month-to-Month,2.0,8.0,No,,,,,0,0
1043,2022-07-25,Tech,5.0,270.0,Month-to-Month,3.0,0.0,No,,,,,0,0
1044,2020-05-30,Tech,29.0,1498.0,Month-to-Month,1.0,16.0,No,,,,,0,0
1045,2021-05-15,Healthcare,55.0,2777.0,1 Year,5.0,,No,,,,negative_set_to_missing,0,0
1046,2022-12-19,Tech,13.0,631.0,2 Year,2.0,26.0,No,,,,,0,0
1047,2020-10-02,Healthcare,82.0,4113.0,Month-to-Month,4.0,28.0,No,,,,,0,0
1048,2021-07-31,Healthcare,23.0,1156.0,2 Year,2.0,10.0,No,,,,,0,0
1049,2022-11-01,Retail,15.0,792.0,1 Year,1.0,28.0,Yes,,,,,0,0
1050,2021-07-20,Healthcare,27.0,1335.0,Month-to-Month,1.0,10.0,No,,,,,0,0
1051,2020-11-26,Education,17.0,,2 Year,2.0,22.0,Yes,,,extreme_outlier_set_to_missing,,0,0
1052,2020-11-01,Retail,21.0,,Month-to-Month,2.0,26.0,No,,,negative_set_to_missing,,0,0
1053,2020-09-18,Tech,25.0,1235.0,1 Year,5.0,11.0,No,,,,,0,0
1054,2022-01-02,Manufacturing,40.0,2006.0,2 Year,2.0,7.0,No,,,,,0,0
1055,2022-04-12,Finance,32.0,1599.0,Month-to-Month,0.0,27.0,No,,,,,1,0
1056,2022-04-24,Retail,67.0,3333.0,Month-to-Month,1.0,23.0,No,,,,,0,0
1057,2021-05-23,Tech,2.0,114.0,Month-to-Month,2.0,25.0,No,,,,,0,0
1058,2022-08-21,Finance,46.0,2308.0,Month-to-Month,1.0,26.0,No,,,,,0,0
1059,2021-04-01,Tech,18.0,883.0,2 Year,3.0,6.0,No,,,,,0,0
1060,2021-07-25,Manufacturing,16.0,824.0,2 Year,2.0,16.0,No,,,,,0,0
1061,2021-11-09,Tech,,1133.0,Month-to-Month,0.0,28.0,Yes,recoded_from_1,extreme_outlier_set_to_missing,,,0,0
1062,2020-08-10,Manufacturing,,435.0,1 Year,1.0,23.0,No,,negative_set_to_missing,,,0,0
1063,2020-08-24,Tech,48.0,2429.0,2 Year,2.0,6.0,No,,,,,0,0
1064,2022-11-30,Finance,61.0,3098.0,2 Year,1.0,23.0,No,,,,,0,0
1065,2022-01-15,Healthcare,33.0,1685.0,Month-to-Month,0.0,30.0,No,,,,,0,0
1066,2020-09-12,Education,13.0,668.0,2 Year,2.0,9.0,No,,,,,0,0
1067,2021-08-28,Education,54.0,2750.0,Month-to-Month,3.0,6.0,No,,,,,0,0
1068,2020-12-22,Finance,43.0,2168.0,1 Year,2.0,17.0,No,,,,,0,0
1069,2022-05-30,Retail,4.0,221.0,1 Year,1.0,14.0,No,,,,,0,0
1070,2020-12-13,Tech,26.0,1290.0,1 Year,2.0,16.0,No,,,,,0,0
1071,2021-04-26,Retail,18.0,919.0,Month-to-Month,4.0,25.0,Yes,,,,,0,0
1072,2020-05-29,Education,11.0,588.0,1 Year,1.0,28.0,No,,,,,0,0
1073,2022-02-25,Tech,19.0,993.0,1 Year,1.0,7.0,No,,,,,0,0
1074,2022-05-20,Tech,32.0,1608.0,Month-to-Month,3.0,25.0,No,,,,,0,0
1075,2021-05-25,Manufacturing,43.0,2145.0,1 Year,3.0,4.0,No,,,,,0,0
1076,2021-10-11,Manufacturing,9.0,486.0,2 Year,4.0,26.0,No,,,,,0,0
1077,2022-07-02,Finance,36.0,1800.0,2 Year,2.0,27.0,No,,,,,0,0
1078,2021-07-21,Education,13.0,696.0,1 Year,1.0,20.0,No,,,,,0,0
1079,2021-08-08,Finance,30.0,1510.0,1 Year,5.0,10.0,No,,,,,0,0
1080,2020-11-04,Retail,37.0,1859.0,1 Year,2.0,22.0,No,,,,,0,0
1081,2022-04-14,Retail,5.0,272.0,2 Year,0.0,,No,,,,negative_set_to_missing,0,0
1082,2022-03-08,Healthcare,51.0,2532.0,2 Year,0.0,12.0,No,,,,,0,0
1083,2022-03-09,Finance,22.0,1133.0,2 Year,0.0,23.0,No,,,,,0,0
1084,2022-09-26,Education,10.0,508.0,1 Year,1.0,13.0,No,,,,,0,0
1085,2022-04-08,Tech,24.0,1201.0,1 Year,0.0,29.0,No,,,,,0,0
1086,2022-03-17,Finance,30.0,1483.0,Month-to-Month,2.0,20.0,No,,,,,0,0
1087,2020-04-12,Retail,9.0,463.0,1 Year,4.0,10.0,No,,,,,0,0
1088,2021-07-23,Tech,41.0,2083.0,1 Year,0.0,26.0,Yes,,,,,0,0
1089,2021-12-17,Tech,9.0,458.0,2 Year,0.0,2.0,No,,,,,0,0
1090,2021-05-21,Tech,16.0,805.0,Month-to-Month,4.0,19.0,Yes,,,,,0,0
1091,2021-03-22,Manufacturing,12.0,639.0,2 Year,0.0,8.0,No,,,,,0,0
1092,2020-08-22,Manufacturing,23.0,1150.0,1 Year,0.0,3.0,No,,,,,0,0
1093,2022-02-07,Education,17.0,880.0,2 Year,0.0,6.0,No,,,,,0,0
1094,2021-05-12,Tech,32.0,1593.0,2 Year,4.0,24.0,No,,,,,0,0
1095,2020-03-25,Education,37.0,1874.0,2 Year,0.0,13.0,No,,,,,0,0
1096,2021-11-29,Healthcare,52.0,2581.0,1 Year,4.0,26.0,No,,,,,0,0
1097,2022-07-30,Healthcare,14.0,699.0,1 Year,1.0,5.0,No,,,,,0,0
1098,2022-09-17,Finance,2.0,139.0,1 Year,1.0,26.0,No,recoded_from_1,,,,0,0
1099,2020-06-26,Education,21.0,1065.0,1 Year,6.0,7.0,No,,,,,0,0
1100,2022-02-15,Healthcare,37.0,1873.0,Month-to-Month,1.0,15.0,Yes,,,,,0,0
1101,2021-06-13,Manufacturing,11.0,573.0,1 Year,4.0,28.0,No,,,,,0,0
1102,2020-01-21,Manufacturing,15.0,796.0,Month-to-Month,7.0,2.0,No,,,,,0,0
1103,2021-05-07,Tech,15.0,790.0,2 Year,0.0,22.0,No,,,,,0,0
1104,2021-08-25,Healthcare,18.0,908.0,1 Year,3.0,22.0,No,,,,,0,0
1105,2022-08-27,Healthcare,24.0,1250.0,2 Year,4.0,11.0,No,,,,,0,0
1106,2021-12-21,Finance,33.0,1688.0,1 Year,0.0,9.0,No,,,,,0,0
1107,2021-10-08,Finance,18.0,895.0,2 Year,3.0,17.0,No,,,,,0,0
1108,2021-03-19,Manufacturing,34.0,1741.0,1 Year,3.0,23.0,No,,,,,0,0
1109,2021-08-02,Education,2.0,92.0,Month-to-Month,4.0,9.0,Yes,,,,,0,0
1110,2022-12-29,Education,16.0,796.0,1 Year,3.0,1.0,No,,,,,0,0
1111,2020-09-15,Retail,29.0,1492.0,Month-to-Month,1.0,27.0,Yes,,,,,0,0
1112,2022-09-07,Retail,6.0,336.0,1 Year,3.0,5.0,No,recoded_from_1,,,,0,0
1113,2020-08-21,Tech,23.0,1138.0,1 Year,0.0,15.0,No,,,,,0,0
